city;count;lat;lng
Almaty (Вѣрный)                     ;1;43.222;76.8512
Altona                            ;1;53.551;9.9337
Armavir                           ;7;45;41.1167
Arkhangelsk                       ;6;64.5393;40.5187
Astrakhan                         ;2;46.3497;48.0408
Azov                              ;2;47.1042;39.4219
Baku                              ;11;40.4093;49.8671
Bakhmut                           ;2;48.5912;38.0008
Barnaul                           ;4;53.3468;83.777
Bendzin (Бендинъ)                 ;1;50.326;19.1296
Berdychiv (Бердичевъ)             ;1;49.8948;28.5783
Berlin                            ;1;52.52;13.405
Bershad (Бершадъ)                 ;1;48.3709;29.5317
Bialystok (Бѣлостокъ)             ;10;53.1325;23.1688
Bilovodsk (Бѣловодскъ)            ;1;49.2027;39.5877
Bishkek (Пишпекъ)                 ;1;42.8746;74.5698
Bobruisk (Бобруйскъ)              ;1;53.1491;29.2211
Bogoroditsk (Богородицкъ)       ;1;53.772;38.1275
Bogorodsk (Noginsk)               ;1;55.8511;38.4554
Borisov (Борисовъ)                ;1;54.2289;28.5075
Brest (Брестъ-Литовскъ)           ;1;52.0976;23.7341
Brzeziny (Брезины)                ;1;51.8002;19.7508
Bryansk (Брянскъ)                 ;1;53.242;34.3649
Budyonnovsk (Святой Крестъ)       ;0;             ;           
Buffalo                           ;1;42.8864;-78.8784
Cherkasy (Черкассы)               ;1;49.4444;32.0598
Chermoz (Чермозъ)                 ;1;58.795;56.1558
Chernobyl (Чернобыль)             ;1;51.27;30.2242
Chelyabinsk (Челябинскъ)          ;1;55.1644;61.4368
Chisinau (Кишиневъ)               ;4;47.0105;28.8638
Czestochowa (Ченстоховъ)          ;2;50.81;19.12
Daugavpils (Двинскъ)              ;1;55.8747;26.516
Dimitrovgrad (Мелекессь)          ;1;54.2102;49.595
Dnipro (Екатеринославъ)           ;5;48.4647;35.0462
Dobele (Добленъ)                  ;1;56.624;23.2757
Donetsk (Юзовка)                  ;1;48.0159;37.8028
Feodosia (Ѳеодосія)               ;1;45.0312;35.3803
Gomel (Гомель)                    ;2;52.4345;30.9754
Gothenburg                        ;1;57.7089;11.9746
Grodno (Гродно)                   ;6;53.6694;23.8258
Grozny (Грозный)                  ;2;43.3164;45.6981
Hadiach (Гадячъ)                  ;1;50.368;33.9872
Harbin (Харбинъ)                  ;11;45.75;126.6333
Holta (Pervomaisk)                ;3;48.0547;30.8508
Irkutsk (Иркутскъ)                ;1;52.2869;104.305
Ivanovo-Voznesensk                ;3;57;40.9667
Kaliningrad (Кönigsberg)          ;0;             ;           
Kalisch (Калишъ)                  ;5;51.7592;18.0838
Kaluga (Калуга)                   ;1;54.5138;36.2602
Kamianske (Запорожье-Каменское)   ;1;48.517;34.6148
Kamensk-Shakhtinsky               ;1;48.3189;40.2644
Kamyshlov (Камышловъ)             ;1;56.8456;62.7106
Kaunas (Ковно)                    ;3;54.8985;23.9036
Kazan (Казань)                    ;4;55.7961;49.1064
Kerch (Керчь)                     ;1;45.356;36.4677
Khabarovsk (Хабаровскъ)           ;6;48.4827;135.0838
Kharkiv (Харьковъ)                ;16;49.9935;36.2304
Kherson (Херсонъ)                 ;3;46.6354;32.6169
Kielce (Кѣльцы)                   ;4;50.8661;20.6286
Kirov (Вятка)                     ;1;58.6036;49.668
Kizlyar (Кизляръ)                 ;2;43.8498;46.7135
Kogon (Новая Бухара)              ;3;39.7119;64.5472
Kokand (Кокандъ)                  ;5;40.5292;70.9425
Kolomna (Коломна)                 ;1;55.1047;38.7606
Kostroma (Кострома)               ;1;57.7679;40.9269
Kostyantynivka                    ;1;48.5273;37.7097
Krakow (Kraków)                   ;1;50.0647;19.945
Krasnodar (Екатеринодаръ)         ;3;45.0355;38.9753
Krasnoyarsk (Красноярскъ)         ;1;56.0184;92.8675
Kremenchuk (Кременчугъ)           ;1;49.0604;33.4151
Kropyvnytskyi (Елисаветградъ)     ;2;48.5083;32.2613
Kubinka (Кубинка)                 ;1;55.5838;36.7145
Kungur (Кунгуръ)                  ;2;57.4368;56.9467
Kurgan (Курганъ)                  ;2;55.4515;65.341
Kursk (Курскъ)                    ;1;51.7308;36.1875
Kutaisi (Кутаисъ)                 ;3;42.2522;42.6921
Kybartai (Кибарты)                ;3;54.6396;22.7596
Kyiv (Кіевъ)                      ;20;50.4501;30.5234
Leipzig                           ;1;51.3397;12.3731
Liège                             ;1;50.6326;5.5797
Liepaja (Либава)                  ;6;56.5078;21.0114
Ligovo (Saint Petersburg)         ;1;59.8394;30.1993
Lodz (Лодзь)                      ;20;51.7592;19.456
Lomza (Ломжа)                     ;1;53.176;22.0726
London                            ;1;51.5074;0.1278
Lozova (Лозовая)                  ;2;48.888;36.315
Lublin (Люблинъ)                  ;6;51.2465;22.5684
Luhansk (Луганскъ)                ;7;48.574;39.3078
